"Filename","ProcessedFolder","Genotype","SubjLabel","SubjNum","dob","gender","handedness","race","ethnicity","weight","height"
"/projects/moush/jacob/ITGB3/ITGB3_Images/Distortion_Corrected/ITGB3_001.jan2011_distortion_corrected.mnc","/projects/moush/jacob/ITGB3/ITGB3_22Jan12_ANTS_processed/ITGB3_001.jan2011_distortion_corrected","WT","ITGB3_001","","","","","","ITGB3","",""
"/projects/moush/jacob/ITGB3/ITGB3_Images/Distortion_Corrected/ITGB3_002.jan2011_distortion_corrected.mnc","/projects/moush/jacob/ITGB3/ITGB3_22Jan12_ANTS_processed/ITGB3_002.jan2011_distortion_corrected","WT","ITGB3_002","","","","","","ITGB3","",""
"/projects/moush/jacob/ITGB3/ITGB3_Images/Distortion_Corrected/ITGB3_003.jan2011_distortion_corrected.mnc","/projects/moush/jacob/ITGB3/ITGB3_22Jan12_ANTS_processed/ITGB3_003.jan2011_distortion_corrected","KO","ITGB3_003","","","","","","ITGB3","",""
"/projects/moush/jacob/ITGB3/ITGB3_Images/Distortion_Corrected/ITGB3_004.jan2011_distortion_corrected.mnc","/projects/moush/jacob/ITGB3/ITGB3_22Jan12_ANTS_processed/ITGB3_004.jan2011_distortion_corrected","KO","ITGB3_004","","","","","","ITGB3","",""
"/projects/moush/jacob/ITGB3/ITGB3_Images/Distortion_Corrected/ITGB3_006.jan2011_distortion_corrected.mnc","/projects/moush/jacob/ITGB3/ITGB3_22Jan12_ANTS_processed/ITGB3_006.jan2011_distortion_corrected","KO","ITGB3_006","","","","","","ITGB3","",""
"/projects/moush/jacob/ITGB3/ITGB3_Images/Distortion_Corrected/ITGB3_007.jan2011_distortion_corrected.mnc","/projects/moush/jacob/ITGB3/ITGB3_22Jan12_ANTS_processed/ITGB3_007.jan2011_distortion_corrected","WT","ITGB3_007","","","","","","ITGB3","",""
"/projects/moush/jacob/ITGB3/ITGB3_Images/Distortion_Corrected/ITGB3_008.jan2011_distortion_corrected.mnc","/projects/moush/jacob/ITGB3/ITGB3_22Jan12_ANTS_processed/ITGB3_008.jan2011_distortion_corrected","WT","ITGB3_008","","","","","","ITGB3","",""
"/projects/moush/jacob/ITGB3/ITGB3_Images/Distortion_Corrected/ITGB3_009.jan2011_distortion_corrected.mnc","/projects/moush/jacob/ITGB3/ITGB3_22Jan12_ANTS_processed/ITGB3_009.jan2011_distortion_corrected","KO","ITGB3_009","","","","","","ITGB3","",""
"/projects/moush/jacob/ITGB3/ITGB3_Images/Distortion_Corrected/ITGB3_010.jan2011_distortion_corrected.mnc","/projects/moush/jacob/ITGB3/ITGB3_22Jan12_ANTS_processed/ITGB3_010.jan2011_distortion_corrected","KO","ITGB3_010","","","","","","ITGB3","",""
"/projects/moush/jacob/ITGB3/ITGB3_Images/Distortion_Corrected/ITGB3_011.jan2011_distortion_corrected.mnc","/projects/moush/jacob/ITGB3/ITGB3_22Jan12_ANTS_processed/ITGB3_011.jan2011_distortion_corrected","KO","ITGB3_011","","","","","","ITGB3","",""
"/projects/moush/jacob/ITGB3/ITGB3_Images/Distortion_Corrected/ITGB3_012.jan2011_distortion_corrected.mnc","/projects/moush/jacob/ITGB3/ITGB3_22Jan12_ANTS_processed/ITGB3_012.jan2011_distortion_corrected","KO","ITGB3_012","","","","","","ITGB3","",""
"/projects/moush/jacob/ITGB3/ITGB3_Images/Distortion_Corrected/ITGB3_013.jan2011_distortion_corrected.mnc","/projects/moush/jacob/ITGB3/ITGB3_22Jan12_ANTS_processed/ITGB3_013.jan2011_distortion_corrected","WT","ITGB3_013","","","","","","ITGB3","",""
"/projects/moush/jacob/ITGB3/ITGB3_Images/Distortion_Corrected/ITGB3_014.jan2011_distortion_corrected.mnc","/projects/moush/jacob/ITGB3/ITGB3_22Jan12_ANTS_processed/ITGB3_014.jan2011_distortion_corrected","WT","ITGB3_014","","","","","","ITGB3","",""
"/projects/moush/jacob/ITGB3/ITGB3_Images/Distortion_Corrected/ITGB3_015.jan2011_distortion_corrected.mnc","/projects/moush/jacob/ITGB3/ITGB3_22Jan12_ANTS_processed/ITGB3_015.jan2011_distortion_corrected","WT","ITGB3_015","","","","","","ITGB3","",""
"/projects/moush/jacob/ITGB3/ITGB3_Images/Distortion_Corrected/ITGB3_016.jan2011_distortion_corrected.mnc","/projects/moush/jacob/ITGB3/ITGB3_22Jan12_ANTS_processed/ITGB3_016.jan2011_distortion_corrected","WT","ITGB3_016","","","","","","ITGB3","",""
"/projects/moush/jacob/ITGB3/ITGB3_Images/Distortion_Corrected/ITGB3_017.jan2011_distortion_corrected.mnc","/projects/moush/jacob/ITGB3/ITGB3_22Jan12_ANTS_processed/ITGB3_017.jan2011_distortion_corrected","KO","ITGB3_017","","","","","","ITGB3","",""
"/projects/moush/jacob/ITGB3/ITGB3_Images/Distortion_Corrected/ITGB3_018.jan2011_distortion_corrected.mnc","/projects/moush/jacob/ITGB3/ITGB3_22Jan12_ANTS_processed/ITGB3_018.jan2011_distortion_corrected","KO","ITGB3_018","","","","","","ITGB3","",""
"/projects/moush/jacob/ITGB3/ITGB3_Images/Distortion_Corrected/ITGB3_019.jan2011_distortion_corrected.mnc","/projects/moush/jacob/ITGB3/ITGB3_22Jan12_ANTS_processed/ITGB3_019.jan2011_distortion_corrected","WT","ITGB3_019","","","","","","ITGB3","",""
"/projects/moush/jacob/ITGB3/ITGB3_Images/Distortion_Corrected/ITGB3_020.jan2011_distortion_corrected.mnc","/projects/moush/jacob/ITGB3/ITGB3_22Jan12_ANTS_processed/ITGB3_020.jan2011_distortion_corrected","WT","ITGB3_020","","","","","","ITGB3","",""
"/projects/moush/jacob/ITGB3/ITGB3_Images/Distortion_Corrected/ITGB3_021.jan2011_distortion_corrected.mnc","/projects/moush/jacob/ITGB3/ITGB3_22Jan12_ANTS_processed/ITGB3_021.jan2011_distortion_corrected","KO","ITGB3_021","","","","","","ITGB3","",""
"/projects/moush/jacob/ITGB3/ITGB3_Images/Distortion_Corrected/ITGB3_022.jan2011_distortion_corrected.mnc","/projects/moush/jacob/ITGB3/ITGB3_22Jan12_ANTS_processed/ITGB3_022.jan2011_distortion_corrected","KO","ITGB3_022","","","","","","ITGB3","",""
"/projects/moush/jacob/ITGB3/ITGB3_Images/Distortion_Corrected/ITGB3_023.jan2011_distortion_corrected.mnc","/projects/moush/jacob/ITGB3/ITGB3_22Jan12_ANTS_processed/ITGB3_023.jan2011_distortion_corrected","WT","ITGB3_023","","","","","","ITGB3","",""
